cls,board
C_Group>NCCU30X>NCCU-STAT,NCCU09_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU10_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU11_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU12_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU99_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU_STAT
C_Group>NCCU30X>NCCU-IT,NCCU03_IT
C_Group>NCCU30X>NCCU-IT,NCCU98_ITS
C_Group>NCCU30X>NCCU-IT,NCCU02_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU03_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU04_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU05_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU06_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU07_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU08_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU09_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU10_ITMBA
C_Group>NCCU30X>NCCU-IT,NCCU11_ITMBA
C_Group>NCCU30X>NCCU-FM,NCCU01FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU02FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU03FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU04FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU06FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU07FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU08FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU09FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU10FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU11FMGRAD
C_Group>NCCU30X>NCCU-FM,NCCU00_FM
C_Group>NCCU30X>NCCU-FM,NCCU02_FM
C_Group>NCCU30X>NCCU-FM,NCCU03_FM
C_Group>NCCU30X>NCCU-FM,NCCU04_FM
C_Group>NCCU30X>NCCU-FM,NCCU98_FM
C_Group>NCCU30X>NCCU-FM,NCCU99_FM
C_Group>NCCU30X>NCCU-RMI,NCCU02_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU03_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU04_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU05_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU06_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU07_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU08_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU09_GRMI
C_Group>NCCU30X>NCCU-RMI,NCCU00_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU01_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU02_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU03_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU04_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU05_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU06_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU07_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU08_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU09_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU10_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU11_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU98_RMI
C_Group>NCCU30X>NCCU-RMI,NCCU99_RMI
C_Group>NCCU30X>NCCU-TIM,NCCU_TIM98
C_Group>NCCU30X>NCCU-TIM,NCCU_TIM99
G_Group>Radio_Club>Web_Radio,BuRuRadio
G_Group>Radio_Club>Web_Radio,DJ_fightman
G_Group>Radio_Club>Web_Radio,Excalibur
G_Group>Radio_Club>Web_Radio,FarRadio
G_Group>Radio_Club>Web_Radio,iKTRtw
G_Group>Radio_Club>Web_Radio,LifeRadio
G_Group>Radio_Club>Web_Radio,MiYaMay
G_Group>Radio_Club>Web_Radio,OnlyMayDay
G_Group>Radio_Club>Web_Radio,ShineRadio
G_Group>Radio_Club>Web_Radio,TRXradio
G_Group>Radio_Club>Air_Radio,DENNIS
G_Group>Radio_Club>Air_Radio,HitFM
G_Group>Radio_Club>Air_Radio,ICRT
G_Group>Radio_Club>Air_Radio,BCC_Midnight
G_Group>Radio_Club>Air_Radio,BCC_PCC
G_Group>Radio_Club>Air_Radio,DJ_Ken
G_Group>Radio_Club>Air_Radio,VNCCU
G_Group>Radio_Club>Air_Radio,midnight
G_Group>Radio_Club>Air_Radio,Seven_up
G_Group>Radio_Club>Air_Radio,UFO-Radio
G_Group>Radio_Club>Air_Radio,YoungDotx3
G_Group>Radio_Club>Air_Radio,PoliceRadio
C_Group>NCCU10X>NCCU-History,NCCU05_Ghis
C_Group>NCCU10X>NCCU-History,NCCU07_Ghis
C_Group>NCCU10X>NCCU-History,NCCU08_Ghis
C_Group>NCCU10X>NCCU-History,NCCU09_Ghis
C_Group>NCCU10X>NCCU-History,NCCUHISLIB
C_Group>NCCU10X>NCCU-History,HistoryClub
C_Group>NCCU10X>NCCU-History,NCCU00_Histo
C_Group>NCCU10X>NCCU-History,NCCU01_Histo
C_Group>NCCU10X>NCCU-History,NCCU02_Histo
C_Group>NCCU10X>NCCU-History,NCCU03_Histo
C_Group>NCCU10X>NCCU-History,NCCU04_Histo
C_Group>NCCU10X>NCCU-History,NCCU05_HISTO
C_Group>NCCU10X>NCCU-History,NCCU06_HISTO
C_Group>NCCU10X>NCCU-History,NCCU07_HISTO
C_Group>NCCU10X>NCCU-History,NCCU08_HISTO
C_Group>NCCU10X>NCCU-History,NCCU09_HISTO
C_Group>NCCU10X>NCCU-History,NCCU10_HISTO
C_Group>NCCU10X>NCCU-History,NCCU11_HISTO
C_Group>NCCU10X>NCCU-History,NCCU12_HISTO
C_Group>NCCU10X>NCCU-History,NCCU13_HISTO
C_Group>NCCU10X>NCCU-History,NCCU97_Histo
C_Group>NCCU10X>NCCU-History,NCCU98_Histo
C_Group>NCCU10X>NCCU-History,NCCU99_Histo
C_Group>NCCU10X>NCCU-History,NCCUSF_HISTO
C_Group>NCCU10X>NCCU-PHILO,NCCU01_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU02_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU04_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU05_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU06_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU07_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU08_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU09_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU10_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU11_PHILO
C_Group>NCCU10X>NCCU-PHILO,NCCU98_PHILO
G_Group>Buzz_Museum>MemoryShow,BAHAMUT
G_Group>Buzz_Museum>MemoryShow,adventure
G_Group>Buzz_Museum>MemoryShow,ainori
G_Group>Buzz_Museum>MemoryShow,ASOSate
G_Group>Buzz_Museum>MemoryShow,bike2power
G_Group>Buzz_Museum>MemoryShow,CTime
G_Group>Buzz_Museum>MemoryShow,DanceBattle
G_Group>Buzz_Museum>MemoryShow,Docchi
G_Group>Buzz_Museum>MemoryShow,GameKing
G_Group>Buzz_Museum>MemoryShow,GoldenStar
G_Group>Buzz_Museum>MemoryShow,GuessX3
G_Group>Buzz_Museum>MemoryShow,Million_star
G_Group>Buzz_Museum>MemoryShow,Music-WoW
G_Group>Buzz_Museum>MemoryShow,PapaGogo
G_Group>Buzz_Museum>MemoryShow,PowerSchool
G_Group>Buzz_Museum>MemoryShow,Richer
G_Group>Buzz_Museum>MemoryShow,sissycome
G_Group>Buzz_Museum>MemoryShow,SuperRed
G_Group>Buzz_Museum>MemoryShow,TITVpower
G_Group>Buzz_Museum>MemoryShow,TV-Champion
G_Group>Buzz_Museum>MemoryShow,UniversityTV
G_Group>Buzz_Museum>MemoryShow,Uri_Nari
G_Group>Buzz_Museum>MemoryShow,USO
G_Group>Buzz_Museum>MemoryShow,WomanShow
G_Group>Buzz_Museum>MemoryShow,Wu_Gan
G_Group>Buzz_Museum>MemoryShow,Good_Shows
G_Group>Buzz_Museum>MemoryShow,b_class
G_Group>Buzz_Museum>MemoryShow,digger
G_Group>Buzz_Museum>MemoryShow,Generation
G_Group>Buzz_Museum>MemoryShow,handsomechef
G_Group>Buzz_Museum>MemoryShow,JingXingBoys
G_Group>Buzz_Museum>MemoryShow,kiss17999
G_Group>Buzz_Museum>MemoryShow,nextstop
G_Group>Buzz_Museum>MemoryShow,Prajna
G_Group>Buzz_Museum>MemoryShow,JJ.ABRAMS
G_Group>Buzz_Museum>MemoryShow,Ally_McBeal
G_Group>Buzz_Museum>MemoryShow,Carnivale
G_Group>Buzz_Museum>MemoryShow,Charmed
G_Group>Buzz_Museum>MemoryShow,Desp_Housewi
G_Group>Buzz_Museum>MemoryShow,Heroes
G_Group>Buzz_Museum>MemoryShow,JossWhedon
G_Group>Buzz_Museum>MemoryShow,Lost
G_Group>Buzz_Museum>MemoryShow,NUMB3RS
G_Group>Buzz_Museum>MemoryShow,Practice
G_Group>Buzz_Museum>MemoryShow,Prison_break
